galaxyID,label1
62252,4
112260,4
100407,1
14007,1
99222,0
163060,5
258972,0
86160,3
197124,3
76905,7
79433,0
62891,1
204682,3
79219,3
57014,6
217012,2
141294,2
126111,3
63520,3
97270,3
121135,3
53252,6
30995,1
51137,4
61412,1
260386,3
264719,1
223434,3
137279,3
228933,0
285003,6
249632,1
62135,2
177960,6
8153,2
259451,1
167521,4
62086,0
272666,0
110595,3
121847,6
204164,6
213915,2
152884,0
50096,1
24388,0
268151,4
194083,0
7848,3
141105,2
116829,0
38204,1
93255,7
256284,7
35774,3
163799,2
125726,7
101372,3
34223,7
110534,0
218237,4
167113,4
106122,6
91279,3
263880,1
77529,6
225349,0
256632,4
98485,3
86423,6
104068,6
63068,0
228841,0
195993,6
180635,7
200077,0
58024,7
31610,6
143427,1
185507,4
70586,2
232980,7
151573,2
259521,3
84024,1
183548,4
266833,2
197538,4
211026,3
80261,0
39802,7
256057,7
218127,2
21441,3
161829,3
18304,7
63495,3
236645,2
123886,1
30943,2
272206,7
201707,5
195941,6
91093,0
264674,1
121436,0
5411,0
185984,2
89020,4
199570,6
221840,0
288361,7
83201,2
285069,4
112252,7
226677,3
72069,0
25847,4
161743,7
191256,2
35433,2
217892,3
39155,7
52853,3
89898,2
157599,7
279774,5
60119,7
144124,7
241018,2
116240,5
44022,2
219088,6
263413,2
210917,6
157337,0
1354,6
2590,4
33754,6
55526,7
41988,6
36240,2
150710,0
164882,3
260079,7
261510,2
141286,3
155321,0
65548,0
36177,0
5127,6
165666,4
209885,0
94108,0
105971,7
34618,3
98176,6
59386,7
27004,0
165768,1
180520,4
93082,1
94008,2
64700,3
198991,2
72925,6
174405,1
293523,1
107822,7
47898,3
249184,1
10299,4
151482,3
218738,6
237685,0
109012,1
21216,7
124353,2
44771,6
125510,3
48817,0
103758,3
241902,6
233631,2
254105,3
173196,7
65974,4
217119,7
161931,7
233571,2
284560,2
265841,7
145127,2
23311,1
62003,6
26274,6
92346,4
163271,2
212552,2
254896,0
135953,4
4824,2
41947,3
160076,2
71547,7
158741,6
157502,6
48755,7
137260,4
165458,2
24088,6
84022,1
18817,7
244856,0
27437,7
222049,2
96502,6
46514,4
269795,5
165584,1
253589,1
166180,7
236691,6
178531,1
142340,3
77070,6
140503,7
122658,6
43842,2
140908,1
118985,6
176787,1
217612,1
133296,1
143202,2
97555,0
25677,6
213321,6
259959,1
141707,0
68111,4
138744,3
151980,6
200699,7
232872,7
44397,6
30121,5
36456,7
179283,6
151935,1
51553,6
136089,3
18606,4
118337,3
31137,6
161787,4
58643,7
174123,0
152497,2
203752,2
53731,3
91662,3
176484,6
201667,6
197210,6
18857,3
81142,2
162374,0
155197,1
106254,2
100151,6
64680,7
35427,3
192411,1
183763,7
127707,0
120588,2
214187,7
207044,6
248507,7
214251,0
84195,7
186230,2
97665,1
205025,4
133795,4
203624,2
116507,0
148960,0
204846,6
136819,3
268129,7
170842,6
225829,1
24807,6
21432,3
95064,2
141478,0
80308,3
137544,7
193959,0
144183,1
91016,0
245471,3
131385,2
69690,2
73115,4
54055,5
261307,0
248201,2
212988,2
63802,0
115700,7
222683,7
103380,4
83783,1
168740,3
271393,4
21288,2
250946,4
219738,2
178309,3
33051,7
187689,6
84607,6
86549,0
69700,0
269382,1
96590,2
174677,1
78112,6
140298,0
